QA	SEEDEKULGLA JA AINEVAHETUS	ALIMENTARY TRACT AND METABOLISM
QI01AA06	lindude nakkava bronhiidi viirusvaktsiin+lindude nakkava bursiidi (Gumboro) viirusvaktsiin+Newcastle'i tõve viirus-/paramüksoviirusvaktsiin+lindude rinotrahheiidi viirusvaktsiin	Avian infectious bronchitis virus vaccine+Av. inf. bursal (Gumboro) disease virus vaccine+Newcastle disease virus/paramyxovirus vaccine+Avian rhinotracheitis virus vaccine
QI01AA08	lindude nakkava bronhiidi viirusvaktsiin+Newcastle'i tõve viirus-/paramüksoviirusvaktsiin+lindude nakkava bursiidi (Gumboro) viirusvaktsiin	Avian infectious bronchitis virus vaccine+Newcastle disease virus/paramyxovirus vaccine+Av. inf. bursal (Gumboro) disease virus vaccine
QI01AA10	lindude nakkava bronhiidi viirusvaktsiin+Newcastle'i tõve viirus-/paramüksoviirusvaktsiin	Avian infectious bronchitis virus vaccine+Newcastle disease virus/paramyxovirus vaccine
QI01AA13	Newcastle'i tõve viirus-/paramüksoviirusvaktsiin+lindude nakkava bronhiidi viirusvaktsiin+lindude adenoviirusvaktsiin	Newcastle disease virus/paramyxovirus vaccine+Avian infectious bronchitis virus vaccine+Avian adenovirus vaccine
QI01AA16	lindude nakkava bronhiidi viirusvaktsiin+Newcastle'i tõve viirus-/paramüksoviirusvaktsiin+lindude reoviirusvaktsiin+lindude nakkava bursiidi (Gumboro) viirusvaktsiin	Avian infectious bronchitis virus vaccine+Newcastle disease virus/paramyxovirus vaccine+Avian reovirus vaccine+Av. inf. bursal (Gumboro) disease virus vaccine
QI01AA17	lindude rinotrahheiidi viirusvaktsiin	Avian rhinotracheitis virus vaccine
QI01AA18	Newcastle'i tõve viirus-/paramüksoviirusvaktsiin+lindude nakkava bronhiidi viirusvaktsiin+lindude adenoviirusvaktsiin+lindude rinotrahheiidi viirusvaktsiin	Newcastle disease virus/paramyxovirus vaccine+Avian infectious bronchitis virus vaccine+Avian adenovirus vaccine+Avian rhinotracheitis virus vaccine
QI01AA19	lindude nakkava bronhiidi viirusvaktsiin+lindude nakkava bursiidi (Gumboro) viirusvaktsiin+Newcastle'i tõve viirus-/paramüksoviirusvaktsiin+lindude adenoviirusvaktsiin	Avian infectious bronchitis virus vaccine+Av. inf. bursal (Gumboro) disease virus vaccine+Newcastle disease virus/paramyxovirus vaccine+Avian adenovirus vaccine
QI01AA21	Newcastle'i tõve viirus-/paramüksoviirusvaktsiin+lindude nakkava bronhiidi viirusvaktsiin+lindude rinotrahheiidi viirusvaktsiin	Newcastle disease virus/paramyxovirus vaccine+Avian infectious bronchitis virus vaccine+Avian rhinotracheitis virus vaccine
QI01AA23	lindude nõrgestatud gripiviirus	Avian influenza virus vaccine
QI01AB	Inaktiveeritud baktervaktsiinid (k.a mükoplasma, toksoid ja klamüüdia)	Inactivated bacterial vaccines (including mycoplasma, toxoid and chlamydia)
QI01AB01	Salmonella vaktsiin	Salmonella vaccine
QI01AB02	Pasteurella vaktsiin	Pasteurella vaccine
QI01AB07	Ornithobacterium vaktsiin	Ornithobacterium vaccine
QI01AB08	Clostridium	Clostridium
QI01AB80	Pasteurella multocida A+pasteurella multocida D+Pasteurella haemolytica vaktsiin+salmonella dublin+Salmonella typhimurium	Pasteurella multocida A+Pasteurella multocida D+Pasteurella haemolytica vaccine+salmonella dublin+Salmonella typhimurium
QI01AB81	Pasteurella multocida A	Pasteurella multocida A
QI01AC	Inaktiveeritud baktervaktsiinid ja antiseerumid	Inactivated bacterial vaccines and antisera
QI01AD	Elusviirusvaktsiinid	Live viral vaccines
QI01AD01	lindude rinotrahheiidi viirusvaktsiin	Avian rhinotracheitis virus vaccine
QI01AD02	lindude entsefalomüeliidi viirusvaktsiin	Avian encephalomyelitis virus vaccine
QI01AD03	lindude herpesviirusvaktsiin (Mareki haigus)	Avian herpes virus vaccine (Mareks disease)
QI01AD04	kanade aneemiaviirusvaktsiin	Chicken anaemia virus vaccine
QI01AD06	Newcastle'i tõve viirus-/paramüksoviirusvaktsiin	Newcastle disease virus/paramyxovirus vaccine
QI01AD07	lindude nakkava bronhiidi viirusvaktsiin	Avian infectious bronchitis virus vaccine
QI01AD08	lindude nakkav larüngotrahheiidi viirusvaktsiin	Avian infectious laryngotracheitis virus vaccine
QI01AD09	lindude nakkava bursiidi (Gumboro) viirusvaktsiin	Av. inf. bursal (Gumboro) disease virus vaccine
QI01AD10	lindude reoviirusvaktsiin	Avian reovirus vaccine
QI01AD11	lindude nakkava bronhiidi viirusvaktsiin+Newcastle'i tõve viirus-/paramüksoviirusvaktsiin	Avian infectious bronchitis virus vaccine+Newcastle disease virus/paramyxovirus vaccine
QI01AD12	lindude rõugete viirusvaktsiin	Avian pox virus vaccine
QI01AD15	lindude nakkava bursiidi (Gumboro) viirusvaktsiin+lindude herpesviirusvaktsiin (Mareki haigus)	Av. inf. bursal (Gumboro) disease virus vaccine+Avian herpes virus vaccine (Mareks disease)
QI01AD80	lindude entsefalomüeliidi viirusvaktsiin+lindude rõugete viirusvaktsiin	Avian encephalomyelitis virus vaccine+Avian pox virus vaccine
QI01AE	Elusbaktervaktsiinid	Live bacterial vaccines
QI01AE01	Salmonella vaktsiin	Salmonella vaccine
QI01AE03	mükoplasma	mycoplasma
QI01AE04	Escherichia	Escherichia
QI01AF	Elusbakter- ja elusviirusvaktsiinid	Live bacterial and viral vaccines
QI01AG	Elus- ja inaktiveeritud baktervaktsiinid	Live and inactivated bacterial vaccines
QI01AN	Parasiitide vastased elusvaktsiinid	Live parasitic vaccines
QI01AN01	koktsiidide vaktsiin	Coccidia vaccine
QI01AS	Allergeenid	Allergens
QI01AS80	Salmonella typhimurium	Salmonella typhimurium
QI01AX	Teised immunoloogilised ained	Other immunologicals
QI01E	TUVI	PIGEON
QI01EA	Inaktiveeritud viirusvaktsiinid	Inactivated viral vaccines
QI01EA01	tuvide paramüksoviirusvaktsiin	Pigeon paramyxovirus vaccine
QI02	IMMUNOLOOGILISED AINED VEISLASTELE	IMMUNOLOGICALS FOR BOVIDAE
QI02A	VEIS	CATTLE
QI02AA	Inaktiveeritud viirusvaktsiinid	Inactivated viral vaccines
QI02AA01	veiste viirusdiarröa viirusvaktsiin	Bovine viral diarrhea vaccine (BVD)
QI02AA02	veiste respiratoorse süntsütsiaalviirusnakkuse vak	Bovine respiratory syncytial virus vaccine (BRSV)
QI02AA03	veiste rinotrahheiidi viirusvaktsiin	Bovine rhinotracheitis virus vaccine (IBR)
QI02AA08	lammaste katarraalse palaviku viiruse vaktsiin	Bluetongue virus vaccine
QI02AA80	veiste paragripi viirusvaktsiin+veiste respiratoorse süntsütsiaalviirusnakkuse vak+veiste viirusdiarröa viirusvaktsiin	Bovine parainfluenza virus vaccine+Bovine respiratory syncytial virus vaccine (BRSV)+Bovine viral diarrhea vaccine (BVD)
QI02AA81	veiste viirusdiarröa viirusvaktsiin+veiste herpesviirus	Bovine viral diarrhea vaccine (BVD)+Bovine herpes virus
QI02AB	Inaktiveeritud baktervaktsiinid (k.a mükoplasma, toksoid ja klamüüdia)	Inactivated bacterial vaccines (including mycoplasma, toxoid and chlamydia)
QI02AB01	Clostridium	Clostridium
QI02AB03	Leptospira	Leptospira
QI02AB04	Pasteurella vaktsiin	Pasteurella vaccine
QI02AB05	Salmonella vaktsiin	Salmonella vaccine
QI02AB09	Escherichia vaktsiin+Salmonella vaktsiin	Escherichia vaccine+Salmonella vaccine
QI02AB80	inaktiveeritud kolibakterioosi vaktsiin+inaktiveeritud Staphylococcus aureus	Inactivated Escherichia vaccine+Inactivated Staphylococcus aureus
QI02AB81	inaktiveeritud vaktsiin-veiste mastiidi tekitajad	Inactivated vaccine against bovine mastitis
QI02AB82	Coxiella, inaktiveeritud	Coxiella, inactivated
QI02AD	Elusviirusvaktsiinid	Live viral vaccines
QI02AD01	veiste rinotrahheiidi viirusvaktsiin	Bovine rhinotracheitis virus vaccine (IBR)
QI02AD07	veiste respiratoorse süntsütsiaalviirusnakkuse vak+veiste paragripp-3 vaktsiin	Bovine respiratory syncytial virus vaccine (BRSV)+Bovine parainfluenza 3 virus vaccine
QI02AD80	veiste respiratoorne süntütsiaalviirusnakkuse vak+veiste herpesviirus+veiste paragripp-3 vaktsiin	Bovine respiratory syncytial virus+Bovine herpes virus+Bovine parainfluenza 3 virus vaccine
QI02AE	Elusbaktervaktsiinid	Live bacterial vaccines
QI02AE04	Bacillus anthracis vaktsiin	Bacillus anthracis vaccine
QI02AI	Elusviirus- ja inaktiveeritud baktervaktsiinid	Live viral and inactivated bacterial vaccines
QI02AI01	veiste rotaviiruse elusvaktsiin+veiste koronaviiruse elusvaktsiin+Escherichia vaktsiin	live Bovine rotavirus vaccine+live Bovine coronavirus vaccine+Escherichia vaccine
QI02AL	Inaktiveeritud viirus- ja baktervaktsiinid	Inactivated viral and inactivated bacterial vaccines
QI02AL01	inaktiveeritud rotaviirus+inaktiveeritud koronaviirus+Escherichia inaktiveeritud vaktsiin	inactivated rotavirus+inactivated coronavirus+Inactivated Escherichia vaccine
QI02AL80	veiste rotaviiruse elusvaktsiin+veiste koronaviiruse elusvaktsiin+Clostridium perfringens tüüp C bakteriin+Escherichia vaktsiin	live Bovine rotavirus vaccine+live Bovine coronavirus vaccine+Clostridium perfringens type C bacterin+Escherichia vaccine
QI02AL81	veiste respiratoorse süntsütsiaalviirusnakkuse vak+veiste paragripp-3 vaktsiin+Pasteurella haemolytica vaktsiin	Bovine respiratory syncytial virus vaccine (BRSV)+Bovine parainfluenza 3 virus vaccine+Pasteurella haemolytica vaccine
QI02AL82	veiste paragripi viirusvaktsiin+veiste respiratoorse süntsütsiaalviirusnakkuse vak+veiste viirusdiarröa viirusvaktsiin+Pasteurella vaktsiin	Bovine parainfluenza virus vaccine+Bovine respiratory syncytial virus vaccine (BRSV)+Bovine viral diarrhea vaccine (BVD)+Pasteurella vaccine
QI02AM	Antiseerumid, immunoglobuliini preparaadid ja antitoksiinid	Antisera, immunoglobulin preparations, and antitoxins
QI02AM02	Salmonella typhimurium	Salmonella typhimurium
QI02AP	Seenevastased elusvaktsiinid	Live fungal vaccines
QI02AP01	Trichophyton vaktsiin	Trichophyton vaccine
QI02AP02	veiste ja karusloomade trihhofüütia vaktsiin	veiste ja karusloomade trihhofüütia vaktsiin
QI02AQ	Seenevastased inaktiveeritud vaktsiinid	Inactivated fungal vaccines
QI02AQ01	Trichophyton vaktsiin	Trichophyton vaccine
QI02AT	Kolostrumi preparaadid ja lisandid	Colostrum preparations and substitutes
QI02AT01	Escherichia	Escherichia
QI02AV	Teised inaktiveeritud vaktsiinid	Other inactivated vaccines
QI02AV81	veiste nakkava rinotrahheiidi vaktsiin+veiste viirusdiarröa viirusvaktsiin+veiste paragripp-3 vaktsiin	Infectious bovine rhinotracheitis-IBR vaccine+Bovine viral diarrhea vaccine (BVD)+Bovine parainfluenza 3 virus vaccine
QI02AV82	veiste nakkava rinotrahheiidi vaktsiin+veiste viirusdiarröa viirusvaktsiin+veiste paragripp-3 vaktsiin+veiste respiratoorse süntsütsiaalviirusnakkuse vak	Infectious bovine rhinotracheitis-IBR vaccine+Bovine viral diarrhea vaccine (BVD)+Bovine parainfluenza 3 virus vaccine+Bovine respiratory syncytial virus vaccine (BRSV)
QI03	IMMUNOLOOGILISED AINED KITSEDELE	IMMUNOLOGICALS FOR CAPRIDAE
QI03A	KITS	GOAT
QI03AB	Inaktiveeritud baktervaktsiinid (k.a mükoplasma, toksoid ja klamüüdia)	Inactivated bacterial vaccines (including mycoplasma, toxoid and chlamydia)
QI03AB80	Coxiella, inaktiveeritud	Coxiella, inactivated
QI04	IMMUNOLOOGILISED AINED LAMMASTELE	IMMUNOLOGICALS FOR OVIDAE
QI04A	LAMMAS	SHEEP
QI04AA	Inaktiveeritud viirusvaktsiinid	Inactivated viral vaccines
QI04AA02	lammaste katarraalse palaviku viiruse vaktsiin	Bluetongue virus vaccine
QI04AB	Inaktiveeritud baktervaktsiinid (k.a mükoplasma, toksoid ja klamüüdia)	Inactivated bacterial vaccines (including mycoplasma, toxoid and chlamydia)
QI04AB01	Clostridium	Clostridium
QI04AB05	Clostridium+Pasteurella vaktsiin	Clostridium+Pasteurella vaccine
QI05	IMMUNOLOOGILISED AINED HOBUSLASTELE	IMMUNOLOGICALS FOR EQUIDAE
QI05A	HOBUNE	HORSE
QI05AA	Inaktiveeritud viirusvaktsiinid	Inactivated viral vaccines
QI05AA01	hobuste inaktiveeritud influentsaviirusvaktsiin	Inactivated Equine influenza virus vaccine
QI05AA04	hobuste rinopneumoniidi viirusvaktsiin+hobuste influentsaviirusvaktsiin	Equine rhinopneumonitis virus vaccine+Equine influenza virus vaccine
QI05AA05	hobuste rinopneumoniidi viirusvaktsiin	Equine rhinopneumonitis virus vaccine
QI05AA10	Lääne-Niiluse viirus	West nile virus
QI05AB	Inaktiveeritud baktervaktsiinid (k.a mükoplasma, toksoid ja klamüüdia)	Inactivated bacterial vaccines (including mycoplasma, toxoid and chlamydia)
QI05AB01	Streptococcus vaktsiin	Streptococcus vaccine
QI05AB03	Clostridium	Clostridium
QI05AD	Elusviirusvaktsiinid	Live viral vaccines
QI05AD02	hobuste elus influentsaviirusvaktsiin	Live Equine influenza virus vaccine
QI05AE	Elusbaktervaktsiinid	Live bacterial vaccines
QI05AE80	elusvaktsiin - Streptococcus equi	elusvaktsiin - Streptococcus equi
QI05AI	Elusviirus- ja inaktiveeritud baktervaktsiinid	Live viral and inactivated bacterial vaccines
QI05AI01	hobuste elus influentsaviirusvaktsiin+Clostridium	Live Equine influenza virus vaccine+Clostridium
QI05AL	Inaktiveeritud viirus- ja baktervaktsiinid	Inactivated viral and inactivated bacterial vaccines
QI05AL01	hobuste inaktiveeritud influentsaviirusvaktsiin+Clostridium inaktiveeritud vaktsiin	Inactivated Equine influenza virus vaccine+Inactivated Clostridium vaccine
QI05AL80	teetanuse toksoid+hobuste inaktiveeritud influentsaviirusvaktsiin	Tetanus toxoid+Inactivated Equine influenza virus vaccine
QI05AX	Teised immunoloogilised ained	Other immunologicals
QI05AX01	inaktiveeritud parapoksviirus	inactivated parapoxvirus ovis
QI05AX80	teetanuse anatoksiin	Tetanus anatoxin
QI06	IMMUNOLOOGILISED AINED KASLASTELE	IMMUNOLOGICALS FOR FELIDAE
QI06A	KASS	CAT
QI06AA	Inaktiveeritud viirusvaktsiinid	Inactivated viral vaccines
QI06AA01	kasside leukeemia viirusvaktsiin	Feline leukaemia virus vaccine
QI06AA04	kasside rinotrahheiidi viirusvaktsiin+kasside kalitsiviirusvaktsiin+kasside panleukopeenia viirus-/parvoviirusvaktsiin	Feline rhinotracheitis virus vaccine+Feline calicivirus vaccine+Feline panleucopenia virus / parvovirus vaccine
QI06AA09	kasside panleukopeenia viirus-/parvoviirusvaktsiin+kasside kalitsiviirusvaktsiin+kasside rinotrahheiidi viirusvaktsiin+marutaudi inaktiveeritud viirusvaktsiin	Feline panleucopenia virus/parvovirus vaccine+Feline calicivirus vaccine+Feline rhinotracheitis virus vaccine+Inactivated Rabies virus vaccine
QI06AA80	kasside leukoosiviirus	Feline leucosis
QI06AD	Elusviirusvaktsiinid	Live viral vaccines
QI06AD01	kasside panleukopeenia viirus-/parvoviirusvaktsiin	Feline panleucopenia virus/parvovirus vaccine
QI06AD03	kasside rinotrahheiidi viirusvaktsiin+kasside kalitsiviirusvaktsiin	Feline rhinotracheitis virus vaccine+Feline calicivirus vaccine
QI06AD04	kasside panleukopeenia viirus-/parvoviirusvaktsiin+kasside kalitsiviirusvaktsiin+kasside rinotrahheiidi viirusvaktsiin	Feline panleucopenia virus/parvovirus vaccine+Feline calicivirus vaccine+Feline rhinotracheitis virus vaccine
QI06AD08	marutaudi viirusega rekombineeritud canarypox viirus	Rabies recombinant canarypox virus
QI06AD80	kasside leukoosiviirus	Feline leucosis
QI06AE	Elusbaktervaktsiinid	Live bacterial vaccines
QI06AE02	Bordetella vaktsiin	Bordetella vaccine
QI06AF	Elusbakter- ja elusviirusvaktsiinid	Live bacterial and viral vaccines
QI06AF01	kasside panleukopeenia viirus-/parvoviirusvaktsiin+kasside rinotrahheiidi viirusvaktsiin+kasside kalitsiviirusvaktsiin+klamüüdia vaktsiin	Feline panleucopenia virus / parvovirus vaccine+Feline rhinotracheitis virus vaccine+Feline calicivirus vaccine+Chlamydia vaccine
QI06AF81	herpesviiruse vaktsiin+kasside panleukopeenia viirus-/parvoviirusvaktsiin+kasside kalitsiviirusvaktsiin+klamüüdia vaktsiin	Herpes virus vaccine+Feline panleucopenia virus/parvovirus vaccine+Feline calicivirus vaccine+Chlamydia vaccine
QI06AF82	kasside rinotrahheiidi viirusvaktsiin+kasside panleukopeenia viirus-/parvoviirusvaktsiin+kasside kalitsiviirusvaktsiin+leukeemia viirusvaktsiin+klamüüdia vaktsiin	Feline rhinotracheitis virus vaccine+Feline panleucopenia virus/parvovirus vaccine+Feline calicivirus vaccine+Leukaemia virus vaccine+Chlamydia vaccine
QI06AH	Elus- ja inaktiveeritud viirusvaktsiinid	Live and inactivated viral vaccines
QI06AH04	kasside panleukopeenia viirus-/parvoviirusvaktsiin+marutaudi inaktiveeritud viirusvaktsiin+kasside rinotrahheiidi viirusvaktsiin+kasside kalitsiviirusvaktsiin	Feline panleucopenia virus / parvovirus vaccine+Inactivated Rabies virus vaccine+Feline rhinotracheitis virus vaccine+Feline calicivirus vaccine
QI06AH07	kasside panleukopeenia viirus-/parvoviirusvaktsiin+kasside rinotrahheiidi viirus+kasside kalitsiviirusvaktsiin+kasside leukeemia viirusvaktsiin	Feline panleucopenia virus/parvovirus vaccine+Feline rhinotracheitis virus+Feline calicivirus vaccine+Feline leukaemia virus vaccine
QI06AH08	kasside rinotrahheiidi viirusvaktsiin+kasside kalitsiviirusvaktsiin	Feline rhinotracheitis virus vaccine+Feline calicivirus vaccine
QI06AH09	kasside rinotrahheiidi viirusvaktsiin+kasside panleukopeenia viirus-/parvoviirusvaktsiin+kasside kalitsiviirusvaktsiin	Feline rhinotracheitis virus vaccine+Feline panleucopenia virus / parvovirus vaccine+Feline calicivirus vaccine
QI06AH80	kasside rinotrahheiidi viirusvaktsiin+kasside kalitsiviirusvaktsiin+Chlamydophila felis	Feline rhinotracheitis virus vaccine+Feline calicivirus vaccine+Chlamydophila felis
QI06AH81	kasside rinotrahheiidi viirusvaktsiin+kasside kalitsiviirusvaktsiin+Chlamydophila felis+kasside panleukopeenia viirus-/parvoviirusvaktsiin	Feline rhinotracheitis virus vaccine+Feline calicivirus vaccine+Chlamydophila felis+Feline panleucopenia virus / parvovirus vaccine
QI06AH82	kasside rinotrahheiidi viirusvaktsiin+kasside kalitsiviirusvaktsiin+kasside panleukopeenia viirus-/parvoviirusvaktsiin+Canarypox viirus	Feline rhinotracheitis virus vaccine+Feline calicivirus vaccine+Feline panleucopenia virus / parvovirus vaccine+Canarypox virus
QI06AH83	kasside rinotrahheiidi viirusvaktsiin+kasside kalitsiviirusvaktsiin+Chlamydophila felis+kasside panleukopeenia viirus-/parvoviirusvaktsiin+Canarypox viirus	Feline rhinotracheitis virus vaccine+Feline calicivirus vaccine+Chlamydophila felis+Feline panleucopenia virus / parvovirus vaccine+Canarypox virus
QI06AL	Inaktiveeritud viirus- ja baktervaktsiinid	Inactivated viral and inactivated bacterial vaccines
QI06AL01	kasside panleukopeenia viirus-/parvoviirusvaktsiin+kasside kalitsiviirusvaktsiin+kasside rinotrahheiidi viirusvaktsiin+kasside leukeemia viirusvaktsiin+klamüüdia vaktsiin	Feline panleucopenia virus/parvovirus vaccine+Feline calicivirus vaccine+Feline rhinotracheitis virus vaccine+Feline leukaemia virus vaccine+Chlamydia vaccine
QI06AU	Teised elusvaktsiinid	Other live vaccines
QI06AU80	Canarypox viirus	Canarypox virus
QI06AX	Teised immunoloogilised ained	Other immunologicals
QI06AX80	Canarypox viirus+kasside panleukopeenia viirus-/parvoviirusvaktsiin+herpesviiruse antigeen+kasside kalitsiviirusvaktsiin	Canarypox virus+Feline panleucopenia virus / parvovirus vaccine+Herpes virus antigen+Feline calicivirus vaccine
QI06X	TEISED KASLASED	FELIDAE, OTHERS
QI07	IMMUNOLOOGILISED AINED KOERLASTELE	IMMUNOLOGICALS FOR CANIDAE
QI07A	KOER	DOG
QI07AA	Inaktiveeritud viirusvaktsiinid	Inactivated viral vaccines
QI07AA01	koerte inaktiveeritud parvoviirusvaktsiin	Inactivated Canine parvovirus vaccine
QI07AA02	marutaudi inaktiveeritud viirusvaktsiin	Inactivated Rabies virus vaccine
QI07AA06	koerte herpesviirusvaktsiin	Canine herpesvirus vaccine
QI07AA80	koerte elus parvoviirusvaktsiin+koerte paragripi elusviirusvaktsiin+leptospira icterohaemorrhagiae inactivata+leptospira grippotyphosa inactivata+leptospira sejroe inactivata+Virus febris contagiosae canis attenuatum+Virus laryngotrach. contagiosae canis attenuatum	Live Canine parvovirus vaccine+live Canine parainfluenza virus vaccine+leptospira icterohaemorrhagiae inactivata+leptospira grippotyphosa inactivata+leptospira sejroe inactivata+Virus febris contagiosae canis attenuatum+Virus laryngotrach. contagiosae canis attenuatum
QI07AB	Inaktiveeritud baktervaktsiinid (k.a mükoplasma, toksoid ja klamüüdia)	Inactivated bacterial vaccines (including mycoplasma, toxoid and chlamydia)
QI07AB01	Leptospira	Leptospira
QI07AB04	borrelia	Borrelia vaccine
QI07AD	Elusviirusvaktsiinid	Live viral vaccines
QI07AD01	koerte elus parvoviirusvaktsiin	Live Canine parvovirus vaccine
QI07AD02	koerte katku elusviirusvaktsiin+koerte elus parvoviirusvaktsiin+koerte nakkava hepatiidi elusviirusvaktsiin	Live Canine distemper virus vaccine+Live Canine parvovirus vaccine+Live Canine adenovirus vaccine
QI07AD03	koerte katku elusviirusvaktsiin+koerte elus parvoviirusvaktsiin	Live Canine distemper virus vaccine+Live Canine parvovirus vaccine
QI07AD04	koerte katku elusviirusvaktsiin+koerte elus parvoviirusvaktsiin+koerte nakkava hepatiidi elusviirusvaktsiin+koerte paragripi elusviirusvaktsiin	Live Canine distemper virus vaccine+Live Canine parvovirus vaccine+Live Canine adenovirus vaccine+live Canine parainfluenza virus vaccine
QI07AE	Elusbaktervaktsiinid	Live bacterial vaccines
QI07AE01	Bordetella vaktsiin	Bordetella vaccine
QI07AF	Elusbakter- ja elusviirusvaktsiinid	Live bacterial and viral vaccines
QI07AF80	Bordetella vaktsiin+koerte paragripi elusviirusvaktsiin	Bordetella vaccine+live Canine parainfluenza virus vaccine
QI07AH	Elus- ja inaktiveeritud viirusvaktsiinid	Live and inactivated viral vaccines
QI07AH04	koerte katku elusviirusvaktsiin+koerte elus parvoviirusvaktsiin+koerte inaktiveeritud koronaviirusvaktsiin	Live Canine distemper virus vaccine+Live Canine parvovirus vaccine+inactivated Canine coronavirus vaccine
QI07AI	Elusviirus- ja inaktiveeritud baktervaktsiinid	Live viral and inactivated bacterial vaccines
QI07AI02	koerte katku elusviirusvaktsiin+koerte nakkava hepatiidi elusviirusvaktsiin+koerte paragripi elusviirusvaktsiin+koerte elus parvoviirusvaktsiin+Leptospira canicola+Leptospira icterohaemorrhagiae	Live Canine distemper virus vaccine+Live Canine adenovirus vaccine+live Canine parainfluenza virus vaccine+Live Canine parvovirus vaccine+Leptospira canicola+Leptospira icterohaemorrhagiae
QI07AI80	koerte katku elusviirusvaktsiin+koerte nakkava hepatiidi elusviirusvaktsiin+koerte elus parvoviirusvaktsiin+koerte paragripi elusviirusvaktsiin+Leptospira canicola+Leptospira icterohaemorrhagiae+Leptospira grippotyphosa+Leptospira pomona	Live Canine distemper virus vaccine+Live Canine adenovirus vaccine+Live Canine parvovirus vaccine+live Canine parainfluenza virus vaccine+Leptospira canicola+Leptospira icterohaemorrhagiae+Leptospira grippotyphosa+Leptospira pomona
QI07AI81	koerte paragripi elusviirusvaktsiin+inaktiveeritud Leptospira icterohaemorrhagiae+Leptospira vaktsiin	live Canine parainfluenza virus vaccine+inaktiveeritud Leptospira icterohaemorrhagiae+Leptospira vaccine
QI07AJ	Elus- ja inaktiveeritud bakter- ja viirusvaktsiinid	Live viral and Inactivated viral and bacterial vaccines
QI07AJ06	koerte katku elusviirusvaktsiin+koerte nakkava hepatiidi elusviirusvaktsiin+koerte elus parvoviirusvaktsiin+koerte paragripi elusviirusvaktsiin+Leptospira inaktiveeritud vaktsiin+marutaudi inaktiveeritud viirusvaktsiin	Live Canine distemper virus vaccine+Live Canine adenovirus vaccine+Live Canine parvovirus vaccine+live Canine parainfluenza virus vaccine+Inactivated Leptospira vaccine+Inactivated Rabies virus vaccine
QI07AJ80	koerte katku elusviirusvaktsiin+koerte nakkava hepatiidi elusviirusvaktsiin+koerte paragripi elusviirusvaktsiin+koerte elus parvoviirusvaktsiin+koerte inaktiveeritud koronaviirusvaktsiin+Leptospira canicola+Leptospira icterohaemorrhagiae	Live Canine distemper virus vaccine+Live Canine adenovirus vaccine+live Canine parainfluenza virus vaccine+Live Canine parvovirus vaccine+inactivated Canine coronavirus vaccine+Leptospira canicola+Leptospira icterohaemorrhagiae
QI07AJ81	koerte paragripi elusviirusvaktsiin+koerte inaktiveeritud koronaviirusvaktsiin+Leptospira canicola+Leptospira icterohaemorrhagiae	live Canine parainfluenza virus vaccine+inactivated Canine coronavirus vaccine+Leptospira canicola+Leptospira icterohaemorrhagiae
QI07AJ82	koerte katku elusviirusvaktsiin+koerte nakkava hepatiidi elusviirusvaktsiin+koerte elus parvoviirusvaktsiin+koerte paragripi elusviirusvaktsiin+Leptospira inaktiveeritud vaktsiin	Live Canine distemper virus vaccine+Live Canine adenovirus vaccine+Live Canine parvovirus vaccine+live Canine parainfluenza virus vaccine+Inactivated Leptospira vaccine
QI07AL	Inaktiveeritud viirus- ja baktervaktsiinid	Inactivated viral and inactivated bacterial vaccines
QI07AL01	marutaudi inaktiveeritud viirusvaktsiin+Leptospira inaktiveeritud vaktsiin	Inactivated Rabies virus vaccine+Inactivated Leptospira vaccine
QI07AL03	koerte katku inaktiveeritud viirusvaktsiin+marutaudi inaktiveeritud viirusvaktsiin+koerte inaktiveeritud parvoviirusvaktsiin+koerte inaktiveeritud adenoviirusvaktsiin+Leptospira inaktiveeritud vaktsiin	Inactivated Canine distemper virus vaccine+Inactivated Rabies virus vaccine+Inactivated Canine parvovirus vaccine+Inactivated Canine adenovirus vaccine+Inactivated Leptospira vaccine
QI07AL05	Bordetella inaktiveeritud vaktsiin+koerte paragripi inaktiveeritud viirusvaktsiin	Inactivated Bordetella vaccine+Inactivated Canine parainfluenza virus vaccine
QI07AL51	inaktiveeritud vaktsiin - koerte katk, koerte nakk	inaktiveeritud vaktsiin - koerte katk, koerte nakk
QI07AL52	inaktiveeritud vaktsiin - marutaud, leptospiroos	inaktiveeritud vaktsiin - marutaud, leptospiroos
QI07AL53	inaktiveeritud vaktsiin - koerte katk, koerte nakk	inaktiveeritud vaktsiin - koerte katk, koerte nakk
QI07AL80	koerte katku inaktiveeritud viirusvaktsiin+koerte inaktiveeritud parvoviirusvaktsiin+koerte inaktiveeritud adenoviirusvaktsiin+Leptospira vaktsiin+inaktiveeritud Leptospira icterohaemorrhagiae	Inactivated Canine distemper virus vaccine+Inactivated Canine parvovirus vaccine+Inactivated Canine adenovirus vaccine+Leptospira vaccine+inaktiveeritud Leptospira icterohaemorrhagiae
QI07AL81	koerte katku elusviirusvaktsiin+koerte nakkava hepatiidi elusviirusvaktsiin+koerte elus parvoviirusvaktsiin+Leptospira canicola+Leptospira icterohaemorrhagiae+marutaudi inaktiveeritud viirusvaktsiin	Live Canine distemper virus vaccine+Live Canine adenovirus vaccine+Live Canine parvovirus vaccine+Leptospira canicola+Leptospira icterohaemorrhagiae+Inactivated Rabies virus vaccine
