A	SEEDEKULGLA JA AINEVAHETUS	ALIMENTARY TRACT AND METABOLISM
N05AH05	asenapiin	Asenapine
N05AH06	klotiapiin	Clotiapine
N05AL	Bensamiidid	Benzamides
N05AL01	sulpiriid	Sulpiride
N05AL02	sultopriid	Sultopride
N05AL03	tiapriid	Tiapride
N05AL04	remoksipriid	Remoxipride
N05AL05	amisulpriid	Amisulpride
N05AL06	veralipriid	Veralipride
N05AN	Liitium	Lithium
N05AN01	liitium	Lithium
N05AX	Teised antipsühhootilised ained	Other antipsychotics
N05AX07	protipendüül	Prothipendyl
N05AX08	risperidoon	Risperidone
N05AX10	mosapramiin	Mosapramine
N05AX11	zotepiin	Zotepine
N05AX12	aripiprasool	Aripiprazole
N05AX13	paliperidoon	Paliperidone
N05B	ANKSIOLÜÜTIKUMID	ANXIOLYTICS
N05BA	Bensodiasepiini derivaadid	Benzodiazepine derivatives
N05BA01	diasepaam	Diazepam
N05BA02	kloordiasepoksiid	Chlordiazepoxide
N05BA03	medasepaam	Medazepam
N05BA04	oksasepaam	Oxazepam
N05BA05	dikaaliumkloorasepaat	Dipotassium clorazepate
N05BA06	lorasepaam	Lorazepam
N05BA07	adinasolaam	Adinazolam
N05BA08	bromasepaam	Bromazepam
N05BA09	klobasaam	Clobazam
N05BA10	ketasolaam	Ketazolam
N05BA11	prasepaam	Prazepam
N05BA12	alprasolaam	Alprazolam
N05BA13	halasepaam	Halazepam
N05BA14	pinasepaam	Pinazepam
N05BA15	kamasepaam	Camazepam
N05BA16	nordasepaam	Nordazepam
N05BA17	fludiasepaam	Fludiazepam
N05BA18	etüülloflasepaat	Ethyl loflazepate
N05BA19	etisolaam	Etizolam
N05BA21	klotiasepaam	Clotiazepam
N05BA22	kloksasolaam	Cloxazolam
N05BA23	tofisopaam	Tofisopam
N05BA80	fenasepaam	Phenazepam
N05BB	Difenüülmetaani derivaadid	Diphenylmethane derivatives
N05BB01	hüdroksüsiin	Hydroxyzine
N05BB02	kaptodiaam	Captodiame
N05BC	Karbamaadid	Carbamates
N05BC01	meprobamaat	Meprobamate
N05BC03	emüülkamaat	Emylcamate
N05BC04	mebutamaat	Mebutamate
N05BD	Dibensobitsüklooktadieeni derivaadid	Dibenzo-bicyclo-octadiene derivatives
N05BD01	bensoktamiin	Benzoctamine
N05BE	Asaspirodekanediooni derivaadid	Azaspirodecanedione derivatives
N05BE01	buspiroon	Buspirone
N05BX	Teised anksiolüütikumid	Other anxiolytics
N05BX01	mefenoksaloon	Mephenoxalone
N05BX02	gedokarniil	Gedocarnil
N05BX03	etifoksiin	Etifoxine
N05C	UINUTID JA RAHUSTID	HYPNOTICS AND SEDATIVES
N05CA	Barbituraadid	Barbiturates, plain
N05CA01	pentobarbitaal	Pentobarbital
N05CA02	amobarbitaal	Amobarbital
N05CA03	butobarbitaal	Butobarbital 
N05CA04	barbitaal	Barbital
N05CA05	aprobarbitaal	Aprobarbital
N05CA06	sekobarbitaal	Secobarbital
N05CA07	talbutaal	Talbutal
N05CA08	vinüülbitaal	Vinylbital
N05CA09	vinbarbitaal	Vinbarbital
N05CA10	tsüklobarbitaal	Cyclobarbital
N05CA15	metoheksitaal	Methohexital
N05CA16	heksobarbitaal	Hexobarbital
N05CA19	tiopentaal	Thiopental
N05CA21	allobarbitaal	Allobarbital
N05CA22	proksibarbaal	Proxibarbal
N05CB	Barbituraatide kombinatsioonid	Barbiturates, combinations
N05CB80	butobarbitaal+ergotoksiin	Butobarbital +Ergotoxin
N05CC	Aldehüüdid ja nende derivaadid	Aldehydes and derivatives
N05CC02	kloralodool	Chloralodol
N05CC04	dikloraalfenasoon	Dichloralphenazone
N05CC05	paraldehüüd	Paraldehyde
N05CD	Bensodiasepiini derivaadid	Benzodiazepine derivatives
N05CD01	flurasepaam	Flurazepam
N05CD02	nitrasepaam	Nitrazepam
N05CD03	flunitrasepaam	Flunitrazepam
N05CD04	estasolaam	Estazolam
N05CD05	triasolaam	Triazolam
N05CD06	lormetasepaam	Lormetazepam
N05CD07	temasepaam	Temazepam
N05CD08	midasolaam	Midazolam
N05CD09	brotisolaam	Brotizolam
N05CD10	kvasepaam	Quazepam
N05CD11	loprasolaam	Loprazolam
N05CD12	doksefasepaam	Doxefazepam
N05CD13	tsinolasepaam	Cinolazepam
N05CE	Piperidiindiooni derivaadid	Piperidinedione derivatives
N05CE01	gluteetimiid	Glutethimide
N05CE02	metüprüloon	Methyprylon
N05CE03	püritüüldioon	Pyrithyldione
N05CF	Bensodiasepiinisarnased ained	Benzodiazepine related drugs
N05CF01	zopikloon	Zopiclone
N05CF02	zolpideem	Zolpidem
N05CF03	zaleploon	Zaleplon
N05CH	Melatoniiniretseptori agonistid	Melatonin receptor agonists
N05CH01	melatoniin	Melatonin
N05CM	Teised uinutid ja rahustid	Other hypnotics and sedatives
N05CM01	metakvaloon	Methaqualone
N05CM02	klometiasool	Clomethiazole
N05CM03	bromisovaal	Bromisoval
N05CM04	karbromaal	Carbromal
N05CM05	hüostsiin	Hyoscine
N05CM06	propiomasiin	Propiomazine
N05CM07	triklofos	Triclofos
N05CM08	etkloorvünool	Ethchlorvynol
N05CM09	palderjanijuur	Valerianae radix
N05CM10	heksapropümaat	Hexapropymate
N05CM13	valnoktamiid	Valnoctamide
N05CM15	metüülpentünool	Methylpentynol
N05CM16	niaprasiin	Niaprazine
N05CM18	deksmedetomidiin	Dexmedetomidine
N05CM81	belladonnaekstrakt+piibelehetinktuur+palderjanitinktuur+mentool	Extract of Belladonna+Tinctura Convallariae+Tinctura Valerianae+Menthol
N05CM82	fenobarbitaal+taimsed preparaadid+piparmündiõli	Phenobarbital+Herbal preparation+Peppermint oil
N05CM83	fenobarbitaal+taimsed preparaadid	Phenobarbital+Herbal preparation
N05CM84	doksülamiin	Doxylamine
N05CX	Uinutite ja rahustite (v.a barbituraatide) kombinatsioonid	Hypnotics and sedatives in combination, excl. barbiturates
N06	PSÜHHOANALEPTIKUMID	PSYCHOANALEPTICS
N06A	ANTIDEPRESSANDID	ANTIDEPRESSANTS
N06AA	Mitteselektiivsed monoamiini tagasihaarde inhibiitorid	Non-selective monoamine reuptake inhibitors
N06AA01	desipramiin	Desipramine
N06AA02	imipramiin	Imipramine
N06AA03	imipramiinoksiid	imipramine oxide
N06AA04	klomipramiin	Clomipramine
N06AA05	opipramool	Opipramol
N06AA06	trimipramiin	Trimipramine
N06AA07	lofepramiin	Lofepramine
N06AA08	dibensepiin	Dibenzepin
N06AA09	amitriptüliin	Amitriptyline
N06AA10	nortriptüliin	Nortriptyline
N06AA11	protriptüliin	Protriptyline
N06AA12	doksepiin	Doxepin
N06AA13	iprindool	Iprindole
N06AA14	melitratseen	Melitracen
N06AA15	butriptüliin	Butriptyline
N06AA16	dosulepiin	Dosulepin
N06AA17	amoksapiin	Amoxapine
N06AA18	dimetakriin	Dimetacrine
N06AA19	amineptiin	Amineptine
N06AA21	maprotiliin	Maprotiline
N06AA23	kvinupramiin	Quinupramine
N06AB	Selektiivsed serotoniini tagasihaarde inhibiitorid	Selective serotonin reuptake inhibitors
N06AB02	zimeldiin	Zimeldine
N06AB03	fluoksetiin	Fluoxetine
N06AB04	tsitalopraam	Citalopram
N06AB05	paroksetiin	Paroxetine
N06AB06	sertraliin	Sertraline
N06AB07	alaproklaat	Alaproclate
N06AB08	fluvoksamiin	Fluvoxamine
N06AB09	etoperidoon	Etoperidone
N06AB10	estsitalopraam	Escitalopram
N06AF	Mitteselektiivsed monoamiini oksüdaasi (MAO) inhibiitorid	Monoamine oxidase inhibitors, non-selective
N06AF01	isokarboksasiid	Isocarboxazid
N06AF02	nialamiid	Nialamide
N06AF03	fenelsiin	Phenelzine
N06AF04	tranüültsüpromiin	Tranylcypromine
N06AF05	iproniasiid	Iproniazid
N06AG	Monoamiini oksüdaasi A (MAO-A) inhibiitorid	Monoamine oxidase type A inhibitors
N06AG02	moklobemiid	Moclobemide
N06AG03	toloksatoon	Toloxatone
N06AX	Teised antidepressandid	Other antidepressants
N06AX01	oksütriptaan	Oxitriptan
N06AX02	trüptofaan	Tryptophan
N06AX03	mianseriin	Mianserin
N06AX04	nomifensiin	Nomifensine
N06AX05	trasodoon	Trazodone
N06AX06	nefasodoon	Nefazodone
N06AX07	minapriin	Minaprine
N06AX08	bifemelaan	Bifemelane
N06AX09	viloksasiin	Viloxazine
N06AX10	oksaflosaan	Oxaflozane
N06AX11	mirtasapiin	Mirtazapine
N06AX12	bupropioon	Bupropione
N06AX13	medifoksamiin	Medifoxamine
N06AX14	tianeptiin	Tianeptine
N06AX15	pivagabiin	Pivagabine
N06AX16	venlafaksiin	Venlafaxine
N06AX17	milnatsipraan	Milnacipran
N06AX18	reboksetiin	Reboxetine
N06AX21	duloksetiin	Duloxetine
N06AX22	agomelatiin	Agomelatine
N06AX81	bupropioon	Bupropione
N06B	PSÜHHOSTIMULAATORID, AKTIIVSUS- JA TÄHELEPANUHÄIRE (ADHD) RAVIKS KASUTATAVAD AINED JA NOOTROOPIKUMID	PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS
N06BA	Tsentraalse toimega sümpatomimeetikumid	Centrally acting sympathomimetics
N06BA01	amfetamiin	Amfetamine
N06BA02	deksamfetamiin	Dexamfetamine
N06BA03	metamfetamiin	Metamfetamine
N06BA04	metüülfenidaat	Methylphenidate
N06BA05	pemoliin	Pemoline
N06BA06	fenkamfamiin	Fencamfamin
N06BA07	modafiniil	Modafinil
N06BA08	fenosoloon	Fenozolone
N06BA09	atomoksetiin	Atomoxetine
N06BA80	mesokarb	Mesocarb
N06BC	Ksantiini derivaadid	Xanthine derivatives
N06BC01	kofeiin	Caffeine
N06BC80	kofeiinnaatriumbensoaat	Coffeini-sodium benzoate
N06BX	Teised psühhostimulaatorid ja nootroopikumid	Other psychostimulants and nootropics
N06BX01	meklofenoksaat	Meclofenoxate
N06BX02	püritinool	Pyritinol
N06BX03	piratsetaam	Piracetam 
N06BX04	deanool atseglumaat	Deanol aceglumate
N06BX05	fipeksiid	Fipexide
N06BX06	tsitikoliin	Citicoline
N06BX07	oksüratsetaam	Oxiracetam
N06BX08	pirisudanool	Pirisudanol
N06BX09	linopirdiin	Linopirdine
N06BX10	nisofenoon	Nizofenone
N06BX11	aniratsetaam	Aniracetam
N06BX13	idebenoon	Idebenone
N06BX14	prolintaan	Prolintane
N06BX15	pipradrool	Pipradrol
N06BX16	pramiratsetaam	Pramiracetam
N06BX17	adrafiniil	Adrafinil
N06BX18	vinpotsetiin	Vinpocetine
N06BX80	piratsetaam+tsinnarisiin	Piracetam +Cinnarizine
N06BX82	pikamiloon	Picamilon
N06BX83	aminovõihape	Aminobutyric acid
N06C	PSÜHHOLEPTIKUMIDE JA PSÜHHOANALEPTIKUMIDE KOMBINATSIOONID	PSYCHOLEPTICS AND PSYCHOANALEPTICS IN COMBINATION
N06CA	Antidepressantide kombinatsioonid psühholeptikumidega	Antidepressants in combination with psycholeptics
N06CB	Psühhostimulaatorite kombinatsioonid psühholeptikumidega	Psychostimulants in combination with psycholeptics
N06D	DEMENTSUSEVASTASED AINED	ANTI-DEMENTIA DRUGS
N06DA	Antikoliinesteraasid	Anticholinesterases
N06DA01	takriin	Tacrine
N06DA02	donepesiil	Donepezil
N06DA03	rivastigmiin	Rivastigmine
N06DA04	galantamiin	Galantamine
N06DX	Teised dementsusevastased ained	Other anti-dementia drugs
N06DX01	memantiin	Memantine
N06DX02	hõlmikpuulehed	Ginkgo folium
N06DX80	tserebrolüsiin	Cerebrolysine
N07	TEISED NÄRVISÜSTEEMI TOIMIVAD AINED	OTHER NERVOUS SYSTEM DRUGS
N07A	PARASÜMPATOMIMEETIKUMID	PARASYMPATHOMIMETICS
N07AA	Antikoliinesteraasid	Anticholinesterases
N07AA01	neostigmiin	Neostigmine
N07AA02	püridostigmiinbromiid	Pyridostigmine bromide
N07AA03	distigmiinbromiid	Distigmine bromide
N07AA30	ambenoon	Ambenonium
N07AA80	neostigmiin+glükopürroonbromiid	Neostigmine+Glycopyrronium bromide
N07AB	Koliini estrid	Choline esters
N07AB01	karbakool	Carbachol
N07AB02	betanekool	Bethanechol
N07AX	Teised parasümpatomimeetikumid	Other parasympathomimetics
N07AX01	pilokarpiinvesinikkloriid	Pilocarpine hydrochloride
N07AX02	koliinalfostseraat	Choline alfoscerate
N07B	SÕLTUVUSHÄIRETE RAVIKS KASUTATAVAD AINED	DRUGS USED IN ADDICTIVE DISORDERS
N07BA	Nikotiinisõltuvuse raviks kasutatavad ained	Drugs used in nicotine dependence
N07BA01	nikotiin	Nicotine
N07BA03	varenikliin	Varenicline
N07BB	Alkoholisõltuvuse raviks kasutatavad ained	Drugs used in alcohol dependence
N07BB01	disulfiraam	Disulfiram
N07BB02	kaltsiumkarbimiid	Calcium carbimide
N07BB04	naltreksoon	Naltrexone
N07BB80	nalmefeen	nalmefene
N07BC	Opioidisõltuvuse raviks kasutatavad ained	Drugs used in opioid dependence
N07BC01	buprenorfiin	Buprenorphine
N07BC02	metadoon	Methadone
N07BC51	buprenorfiin+naloksoon	Buprenorphine+Naloxone
N07C	PEAPÖÖRITUSEVASTASED PREPARAADID	ANTIVERTIGO PREPARATIONS
N07CA	Peapööritusevastased preparaadid	Antivertigo preparations
N07CA01	beetahistiin	Betahistine
N07CA02	tsinnarisiin	Cinnarizine
N07CA03	flunarisiin	Flunarizine
N07CA04	atsetüülleutsiin	Acetylleucine
N07CA80	tsinnarisiin+dimenhüdrinaat	Cinnarizine+Dimenhydrinate
N07X	TEISED NÄRVISÜSTEEMI TOIMIVAD AINED	OTHER NERVOUS SYSTEM DRUGS
N07XA	Gangliosiidid ja nende derivaadid	Gangliosides and ganglioside derivatives
N07XX	Teised närvisüsteemi toimivad ained	Other nervous system drugs
N07XX01	tirilasaad	Tirilazad
N07XX02	rilusool	Riluzole
N07XX04	naatriumoksübaat	Sodium oxybate
N07XX05	amifampridiin	Amifampridine
N07XX06	tetrabenasiin	Tetrabenazine
N07XX07	fampridiin	Fampridine
N07XX08	tafamidis	Tafamidis
P	PARASIIDIVASTASED AINED, INSEKTITSIIDID JA REPELLENDID	ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS
P01	ALGLOOMADE VASTASED AINED	ANTIPROTOZOALS
P01A	AMÖÖBIVASTASED JA TEISTE ALGLOOMADE VASTASED AINED	AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES
P01AA	Hüdroksükinoliini derivaadid	Hydroxyquinoline derivatives
P01AA01	broksükinoliin	Broxyquinoline
P01AA02	kliokvinool	Clioquinol
P01AA04	kloorkvinaldool	Chlorquinaldol
P01AA05	tilbrokvinool	Tilbroquinol
P01AB	Nitroimidasooli derivaadid	Nitroimidazole derivatives
P01AB01	metronidasool	Metronidazole 
P01AB02	tinidasool	Tinidazole
P01AB03	ornidasool	Ornidazole
P01AB04	asanidasool	Azanidazole
P01AB05	propenidasool	Propenidazole
P01AB06	nimorasool	Nimorazole
P01AB07	seknidasool	Secnidazole
P01AC	Dikloroatsetamiidi derivaadid	Dichloroacetamide derivatives
P01AC01	diloksaniid	Diloxanide
P01AC02	klefamiid	Clefamide
P01AC03	etofamiid	Etofamide
P01AC04	teklosaan	Teclozan
P01AR	Arseeniühendid	Arsenic compounds
P01AR01	arstinool	Arsthinol
P01AR02	difetarsoon	Difetarsone
P01AR03	glükobiarsool	Glycobiarsol
P01AX	Teised amööbivastased ja teiste algloomade vastased ained	Other agents against amoebiasis and other protozoal diseases
P01AX01	kiniofoon	Chiniofon
P01AX04	fankvinoon	Phanquinone
P01AX05	mepakriin	Mepacrine
P01AX06	atovakvoon	Atovaquone
P01AX07	trimetreksaat	Trimetrexate
P01AX08	tenonitrosool	Tenonitrozole
P01AX11	nitasoksaniid	Nitazoxanide
P01B	MALAARIAVASTASED AINED	ANTIMALARIALS
P01BA	Aminokinoliinid	Aminoquinolines
P01BA01	klorokviin	Chloroquine
P01BA02	hüdroksüklorokviin	Hydroxychloroquine
P01BA03	primakviin	Primaquine
P01BA06	amodiakviin	Amodiaquine
P01BB	Biguaniidid	Biguanides
P01BB01	proguaniil	Proguanil
P01BB02	tsükloguaniilembonaat	Cycloguanil embonate
P01BB51	proguaniil+atovakvoon	Proguanil+Atovaquone
P01BC	Metanoolkinoliinid	Methanolquinolines
P01BC01	kiniin	Quinine
P01BC02	meflokviin	Mefloquine
P01BD	Diaminopürimidiinid	Diaminopyrimidines
P01BD01	pürimetamiin	Pyrimethamine
P01BD80	pürimetamiin+sulfadoksiin	Pyrimethamine+Sulfadoxine
P01BE	Artemisiniin ja selle derivaadid	Artemisinin and derivatives, plain
P01BF	Artemisiniin ja selle derivaadid, kombinatsioonid	Artemisinin and derivatives, combinations
P01BF01	artemeeter+lumefantriin	Artemether+Lumefantrine
P01BF05	dihüdroartemisiniin+piperakviintetrafosfaat	Dihydroartemisinin+Piperaquine tetraphosphate
P01BX	Teised malaariavastased ained	Other antimalarials
P01BX01	halofantriin	Halofantrine
P01C	LEIŠMANIAASI- JA TRÜPANOSOMIAASIVASTASED AINED	AGENTS AGAINST LEISHMANIASIS AND TRYPANOSOMIASIS
P01CA	Nitroimidasooli derivaadid	Nitroimidazole derivatives
P01CA02	bensnidasool	Benznidazole
P01CB	Antimoniühendid	Antimony compounds
P01CB01	meglumiin	Meglumine
P01CB02	naatriumantimonglükonaat	Sodium stibogluconate
P01CC	Nitrofuraani derivaadid	Nitrofuran derivatives
P01CC01	nifurtimoks	Nifurtimox
P01CC02	nitrofuraal	Nitrofural
P01CD	Arseeniühendid	Arsenic compounds
P01CD01	melarsoprool	Melarsoprol
P01CD02	atsetarsool	Acetarsol
P01CX	Teised leišmaniaasi- ja trüpanosomiaasivastased ained	Other agents against leishmaniasis and trypanosomiasis
P01CX01	pentamidiin	Pentamidine
P01CX02	naatriumsuramiin	Suramin sodium
P01CX03	eflornitiin	Eflornithine
P02	ANTHELMINTIKUMID	ANTHELMINTICS
P02B	LAMEUSSIDE VASTASED AINED	ANTITREMATODALS
P02BA	Kinoliini derivaadid ja sarnased ained	Quinoline derivatives and related substances
P02BA01	prasikvanteel	Praziquantel
P02BA02	oksamnikviin	Oxamniquine
P02BB	Fosfororgaanilised ühendid	Organophosphorous compounds
P02BB01	metrifonaat	Metrifonate
P02BX	Teised lameusside vastased ained	Other antitrematodal agents
P02BX01	bitionool	Bithionol
P02BX02	niridasool	Niridazole
P02C	ÜMARUSSIDE VASTASED AINED	ANTINEMATODAL AGENTS
P02CA	Bensimidasooli derivaadid	Benzimidazole derivatives
P02CA01	mebendasool	Mebendazole
P02CA02	tiabendasool	Tiabendazole
P02CA03	albendasool	Albendazole
P02CA04	tsüklobendasool	Ciclobendazole
P02CA05	flubendasool	Flubendazole
P02CA06	fenbendasool	Fenbendazole
P02CB	Piperasiin ja selle derivaadid	Piperazine and derivatives
P02CB01	piperasiinkaltsiumedetaat	Piperazine calcium edetate
P02CB02	dietüülkarbamasiin	Diethylcarbamazine
P02CC	Tetrahüdropürimidiini derivaadid	Tetrahydropyrimidine derivatives
P02CC01	püranteel	Pyrantel
P02CC02	oksanteel	Oxantel
P02CE	Imidasotiasooli derivaadid	Imidazothiazole derivatives
P02CE01	levamisool	Levamisole
P02CF	Avermektiinid	Avermectines
P02CF01	ivermektiin	Ivermectin
P02CX	Teised ümarusside vastased ained	Other antinematodals
P02CX01	pürviiniumkloriid	Pyrvinium chloride
P02CX02	befeeniumhüdroksünaftoaat	Bephenium hydroxynaphthoate
P02D	PAELUSSIDE VASTASED AINED	ANTICESTODALS
P02DA	Salitsüülhappe derivaadid	Salicylic acid derivatives
P02DA01	niklosamiid	Niclosamide
P02DX	Teised paelusside vastased ained	Other anticestodals
P02DX01	desaspidiin	Desaspidin
P02DX02	diklorofeen	Dichlorophen
P03	NAHAPARASIITIDE VASTASED AINED, K.A SÜGELISTEVASTASED AINED, INSEKTITSIIDID JA REPELLENDID	ECTOPARASITICIDES, INCL. SCABICIDES, INSECTICIDES AND REPELLENTS
P03A	NAHAPARASIITIDE VASTASED AINED, K.A  SÜGELISTEVASTASED AINED	ECTOPARASITICIDES, INCL. SCABICIDES
P03AA	Väävlipreparaadid	Sulfur containing products
P03AA01	diksantogeen	Dixanthogen
P03AA03	mesulfeen	Mesulfen
P03AA04	disulfiraam	Disulfiram
P03AA05	tiram	Thiram
P03AB	Klooripreparaadid	Chlorine containing products
P03AB01	klofenotaan	Clofenotane
P03AB02	lindaan	Lindane
P03AC	Püretriinid, k.a sünteetilised ühendid	Pyrethrines, incl. synthetic compounds
P03AC00	PUUDU_EESTI	PUUDU_INGLISE
P03AC01	püreetrum	Pyrethrum
P03AC02	alletriin	Allethrin
P03AC03	fenotriin	Phenothrin
P03AC04	permetriin	Permethrin
P03AC80	püreetrum	Pyrethrum
P03AC81	alletriin+piperonüülbutoksiid	Allethrin+Piperonyl butoxid
P03AC82	püreetrum+piperonüül	Pyrethrum+Piperonyl
P03AC83	permetriin+piperonüül+malatioon	Permethrin+Piperonyl+Malathion
P03AX	Teised nahaparasiitide vastased ained, k.a sügelistevastased ained	Other ectoparasiticides, incl. scabicides
P03AX01	bensüülbensoaat	Benzyl benzoate
P03AX03	malatioon	Malathion
P03B	INSEKTITSIIDID JA REPELLENDID	INSECTICIDES AND REPELLENTS
P03BA	Püretriinid	Pyrethrines
P03BA01	tsüflutriin	Cyfluthrin
P03BA02	tsüpermetriin	Cypermethrin
P03BA03	dekametriin	Decamethrin
P03BA04	tetrametriin	Tetramethrin
P03BA80	tetrametriin+piperonüül	Tetramethrin+Piperonyl
P03BX	Teised insektitsiidid ja repellendid	Other insecticides and repellents
P03BX01	dietüültoluamiid	Diethyltoluamide
P03BX02	dimetüülftalaat	Dimethyl phthalate
P03BX03	dibutüülftalaat	Dibutyl phthalate
P03BX05	dimetüülkarbaat	Dimethylcarbate
R	HINGAMISSÜSTEEM	RESPIRATORY SYSTEM
R01	NASAALSED PREPARAADID	NASAL PREPARATIONS
R01A	TURSEVASTASED AINED JA TEISED NASAALSED PREPARAADID PAIKSEKS KASUTAMISEKS	DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE
R01AA	Sümpatomimeetikumid	Sympathomimetics, plain
R01AA02	tsüklopentamiin	Cyclopentamine
R01AA04	fenüülefriin	Phenylephrine
R01AA05	oksümetasoliin	Oxymetazoline
R01AA06	tetrüsoliin	Tetryzoline
R01AA07	ksülometasoliin	Xylometazoline
R01AA08	nafasoliin	Naphazoline
R01AA09	tramasoliin	Tramazoline
R01AA10	metisoliin	Metizoline
R01AA11	tuaminoheptaan	Tuaminoheptane
R01AA12	fenoksasoliin	Fenoxazoline
R01AA81	fenüülefriin+dimetindeen	Phenylephrine+Dimetindene
R01AB	Sümpatomimeetikumide (v.a kortikosteroidide) kombinatsioonid	Sympathomimetics, combinations excl. corticosteroids
R01AB01	fenüülefriin	Phenylephrine
R01AB02	nafasoliin	Naphazoline
R01AB03	tetrüsoliin	Tetryzoline
R01AB06	ksülometasoliin+ipratroopiumbromiid	Xylometazoline+Ipratropium bromide
R01AB07	oksümetasoliin	Oxymetazoline
R01AB08	tuaminoheptaan	Tuaminoheptane
R01AB80	nafasoliin+antasoliin	Naphazoline+Antazoline
R01AB81	nafasoliin+difenhüdramiin	Naphazoline+Diphenhydramine
R01AB82	fenüülefriin+dimetindeen	Phenylephrine+Dimetindene
R01AB83	ksülometasoliin+ipratroopiumbromiid	Xylometazoline+Ipratropium bromide
R01AB84	ksülometasoliin+koliinsalitsülaat	Xylometazoline+Choline salicylate
R01AB85	ksülometasoliin+dekspantenool	Xylometazoline+Dexpanthenol
R01AC	Antiallergilised ained, v.a kortikosteroidid	Antiallergic agents, excl. corticosteroids
R01AC01	kromoglütsiinhape	Cromoglicic acid
R01AC02	levokabastiin	Levocabastine
R01AC03	aselastiin	Azelastine
R01AC04	antasoliin	Antazoline
R01AC05	spagluumhape	Spaglumic acid
R01AC07	nedokromiil	Nedocromil
R01AC80	kromoglütsiinhape+salbutamool	Cromoglicic acid+Salbutamol
R01AD	Kortikosteroidid	Corticosteroids
R01AD01	beklometasoon	Beclometasone
R01AD02	prednisoloon	Prednisolone
R01AD03	deksametasoon	Dexamethasone
R01AD04	flunisoliid	Flunisolide
R01AD05	budesoniid	Budesonide
R01AD06	beetametasoon	Betamethasone
R01AD07	tiksokortool	Tixocortol
R01AD08	flutikasoon	Fluticasone
R01AD09	mometasoon	Mometasone
R01AD11	triamtsinoloon	Triamcinolone
R01AD12	flutikasoonfuroaat	Fluticasone furoate
R01AD80	deksametasoon+tramasoliin	Dexamethasone+Tramazoline
R01AD81	flutikasoon+aselastiin	Fluticasone+Azelastine
R01AX	Teised nasaalsed preparaadid	Other nasal preparations
R01AX02	retinool	Retinol
R01AX03	ipratroopiumbromiid	Ipratropium bromide
R01AX05	ritiometaan	Ritiometan
R01AX06	mupirotsiin	Mupirocin
R01AX07	heksamidiin	Hexamidine
R01AX83	retinool+tokoferool	Retinol+Tocopherol
R01AX85	tokoferool+eukalüptiõli+männi eeterlik õli+tümool	Tocopherol+Eucalyptus oil+Pine silvesteris oil+Thymol
R01AX86	tokoferool+eukalüptiõli+männi eeterlik õli+tümool+mentool	Tocopherol+Eucalyptus oil+Pine silvesteris oil+Thymol+Menthol
R01AX87	tokoferool+eukalüptiõli+männi eeterlik õli+tümool+piparmündiõli+guaiasuleen	Tocopherol+Eucalyptus oil+Pine silvesteris oil+Thymol+Peppermint oil+Guaiazulene
R01B	SÜSTEEMSED NINA LIMASKESTA TURSE VASTASED AINED	NASAL DECONGESTANTS FOR SYSTEMIC USE
R01BA	Sümpatomimeetikumid	Sympathomimetics
R01BA01	fenüülpropanoolamiin	Phenylpropanolamine
R01BA02	pseudoefedriin	Pseudoephedrine
R01BA03	fenüülefriin	Phenylephrine
R01BA52	pseudoefedriin+desloratadiin	Pseudoephedrine+Desloratadine
R01BA80	fenüülpropanoolamiin+karbinoksamiin	Phenylpropanolamine+Carbinoxamine
R01BA81	pseudoefedriin+triprolidiin	Pseudoephedrine+Triprolidine
R01BA82	fenüülefriin+karbinoksamiin	Phenylephrine+Carbinoxamine
R01BA83	pseudoefedriin+deksbroomfeniramiin	Pseudoephedrine+Dexbrompheniramine
R01BA84	pseudoefedriin+guaifenesiin	Pseudoephedrine+Guaifenesin
R01BA85	pseudoefedriin+dekstrometorfaan	Pseudoephedrine+Dextromethorphan
R01BA86	pseudoefedriin+guaifenesiin+dekstrometorfaan	Pseudoephedrine+Guaifenesin+Dextromethorphan
R01BA87	fenüülpropanoolamiin+kloorfenamiin	Phenylpropanolamine+Chlorphenamine
R01BA88	pseudoefedriin+kloorfenamiin	Pseudoephedrine+Chlorphenamine
R01BA89	pseudoefedriin+loratadiin	Pseudoephedrine+Loratadine
R01BA90	pseudoefedriin+guaifenesiin+triprolidiin	Pseudoephedrine+Guaifenesin+Triprolidine
R01BA91	fenüülpropanoolamiin+kloorfenamiin+dekstrometorfaan	Phenylpropanolamine+Chlorphenamine+Dextromethorphan
R01BA92	fenüülpropanoolamiin+guaifenesiin	Phenylpropanolamine+Guaifenesin
R01BA93	fenüülpropanoolamiin	Phenylpropanolamine
R01BA93	pseudoefedriin+tsetirisiin	Pseudoephedrine+Cetirizine
R02	KURGUHAIGUSTE RAVIKS KASUTATAVAD PREPARAADID	THROAT PREPARATIONS
R02A	KURGUHAIGUSTE RAVIKS KASUTATAVAD PREPARAADID	THROAT PREPARATIONS
R02AA	Antiseptilised ained	Antiseptics
R02AA01	ambasoon	Ambazone
R02AA02	dekvaliin	Dequalinium
R02AA03	diklorobensüülalkohol	Dichlorobenzyl alcohol
R02AA05	kloorheksidiin	Chlorhexidine
